sample_id,chr1_1,chr1_2,chr1_3,chr1_4,chr1_5,chr1_6,chr1_7,chr1_8,chr1_9,chr1_10,chr1_11,chr1_12,chr1_13,chr1_14,chr1_15,chr1_16,chr1_17,chr1_18,chr1_19,chr1_20,chr1_21,chr1_22,chr1_23,chr1_24,chr1_25,chr1_26,chr1_27,chr1_28,chr1_29,chr1_30,chr1_31,chr1_32,chr1_33,chr1_34,chr1_35,chr1_36,chr1_37,chr1_38,chr1_39,chr1_40,chr1_41,chr1_42,chr1_43,chr1_44,chr1_45,chr1_46,chr1_47,chr1_48,chr1_49,chr1_50,chr1_51,chr1_52,chr1_53,chr1_54,chr1_55,chr1_56,chr1_57,chr1_58,chr1_59,chr1_60,chr1_61,chr1_62,chr1_63,chr1_64,chr1_65,chr1_66,chr1_67,chr1_68,chr1_69,chr1_70,chr1_71,chr1_72,chr1_73,chr1_74,chr1_75,chr1_76,chr1_77,chr1_78,chr1_79,chr1_80,chr1_81,chr1_82,chr1_83,chr1_84,chr1_85,chr1_86,chr1_87,chr1_88,chr1_89,chr1_90,chr1_91,chr1_92,chr1_93,chr1_94,chr1_95,chr1_96,chr1_97,chr1_98,chr1_99,chr1_100
sample_1_tumor,5.34682545381623,4.17676219144893,5.87485402305366,7.13147074624979,3.81235560638906,6.49582848822213,6.34683611292241,6.79953887704218,7.54647731160231,6.45606256541537,7.29057968628925,6.22828111456109,8.20148048089538,6.73690239741498,7.01310621136808,4.92459266508712,4.03329008153065,3.1776368287561,3.48419923630307,4.25635137612142,3.78252443212111,5.03175403349268,4.34098432162239,3.91564271193269,3.67908969245576,4.8878044508789,3.86292728976295,4.12271055565568,4.0908288401862,4.30762404178782,3.6464873058888,3.44128267206125,4.18825277939244,4.37744085202852,4.63364121227698,3.88666180962352,3.91396603422864,3.1871443251854,4.84005984386734,4.06218315265911,3.7689264490013,4.15541850734243,4.80513619981723,4.61302863502019,4.24606288360282,4.150661869794,4.50203135147618,4.19378841637259,3.6120476182899,3.58628670291485,4.41725170601398,4.62092474920109,5.02465542967907,5.03525061672115,3.48969968751829,4.48286053242003,3.03880180069983,4.39869311647536,4.78067760595957,3.39621163726456,3.94283332448005,4.65715930983134,4.83045924082305,3.67316009514424,4.45855784655547,3.27977980616595,3.20564202507787,4.49049943725979,4.10882676595866,5.31303147207793,3.75434901640374,3.36752847953727,3.76479655555601,3.10092305968975,3.77131712019206,3.79240211667707,4.40008255284446,4.27741927419423,4.18521299240762,5.49299524634546,3.21201637428958,4.33850050763048,4.51970921328243,4.73899231407823,4.86577734680787,4.15900544310092,4.86037006716333,4.0651323377866,4.45199104622512,4.92840782563405,3.45769734530136,5.38380358490612,4.91572043857566,3.77324181256507,3.75910643914515,4.50209241252413,3.44149117008077,5.0869219642376,4.78822888339147,2.41351338380452
sample_1_normal.tissue,5.27214788208185,4.00444104868126,3.10282401967435,4.49956612537192,4.00750165143609,3.846311376891,3.74250099025623,4.28325160809656,5.02838624821188,3.77016077536574,4.70098046899346,3.64696672266382,5.31876936965276,3.98401492923417,4.48141917357325,4.80265208746704,4.13086697434683,3.42832101193642,3.46811398108986,4.27882924064501,3.78303790485906,4.87221301705566,4.24154119592744,3.95407535352166,3.73167223615011,4.85203787976171,4.00054629325997,4.14376605974348,3.98904486667249,4.15823889818377,3.57369322701674,3.46520486884161,4.06684679988605,4.46810624155797,4.50998854098416,4.00758646121976,3.76334800441875,3.12665339807072,4.71053418137628,3.79997699395501,3.7788925029538,4.04116462434093,4.63906401847724,4.61797724449871,4.17755099181957,3.77351982287748,4.22315141704769,4.26113285018372,3.64250438573686,3.26351664056579,4.45989537874957,4.51578298819762,4.68241937408551,5.03426658467474,3.60102080047783,4.17335524057898,3.10534284761405,4.47029865956427,4.77715804688918,3.31472692740774,3.8478598546756,4.47022630192115,4.89716657506928,3.75369784707091,4.48689350476438,3.34514005189754,3.09288549641784,4.54754289874032,4.07050720495014,4.97228132234306,3.73172898303866,3.26883306294087,3.82891054041816,3.08874155833235,3.89293563466589,3.8227697222223,4.34611328410082,4.31099181110725,4.2512804210205,5.2124018630067,3.24512134493403,4.28751724172011,4.24400731135659,4.77246797015208,4.62451804900822,3.85518898527097,4.56345967825757,4.07494493542007,4.37708820243736,4.89048278363163,3.38408479442788,5.17923517793345,4.79702702519426,3.82038367712926,3.61626011219314,4.51342291300181,3.44051420592474,5.10682266923478,4.52290318446932,2.29560530268882
sample_2_tumor,3.12523309125677,4.87836185750348,4.93892779300738,7.35784763940592,5.79249555675644,4.28453931085138,6.87567229272797,3.54307125336925,6.59543829779076,3.53094781322768,3.59163315284345,3.64690606405114,5.30418414400287,6.2619140228645,6.84636209721773,4.43610710447961,3.04111205007704,6.16925855085498,3.63350768770269,5.03513925902773,4.97618199619905,4.46953346531023,3.72489438589322,3.92436658223012,4.11514346849486,3.98595942875342,3.53679614635388,4.75575880706054,3.07219960000265,3.63737575640107,4.559522338447,4.82102645241147,4.25082414353046,4.46817215062174,2.41394604965937,3.77963210088222,5.08161170691034,3.99164812036378,2.6762662619285,4.7126661607039,3.551477503506,4.85120196206447,4.61072328088135,4.24349677197121,4.35360131028305,3.90302813996247,3.76101533023208,4.84986597433743,3.26488578764433,3.52759798271254,4.05215650067506,4.73087754288013,4.09570123926012,4.97463837230187,4.3858132401569,3.67821799553593,5.20826063477984,3.80509678819582,4.66194994460469,4.31223961241813,4.20470880287999,4.44191224783883,3.65180345771246,4.58735465543238,3.79822528937232,5.46892347482362,2.65494408991867,2.83116082883538,3.96574911074541,4.07683477267769,4.06787487401341,3.80564907026794,4.3935119417795,3.85130874231095,4.78417672784215,3.77586280695583,4.94787404828753,5.29320928320011,4.49219990034923,4.0628920055857,3.80355072448916,4.59727541068142,4.67650504721649,4.38800663256524,4.12919269522264,4.72131061599028,4.7020149936054,4.41236349739562,3.69180871788716,4.63369912264789,4.45350159899946,5.04838519536121,5.44440151495748,4.11164357844088,5.01013301807352,4.58946360093284,4.8983716247091,3.84569087913963,4.71749463615407,3.70477995762471
sample_2_normal.tissue,3.02002970602222,4.79610231357727,5.02356822411515,4.75387754361927,5.67574080619291,4.28668542282642,4.27012855778558,3.52498192983201,4.04371080743996,3.80489483894493,3.49151238550048,3.50927245035404,2.6872559809055,3.69324994287843,4.31223068793241,4.44898596414698,2.98878680455055,3.63577365160889,3.63356538501009,5.04962607130164,5.02383122699039,4.41966862975903,3.78110001922796,3.85665451338371,3.74438107982409,4.05191074417038,3.53989666884769,4.64045924189835,3.00049355339552,3.52253427435734,4.53104798651965,4.62736227351227,4.29414663679023,4.00584026260471,2.4440228470169,3.82166854988141,5.09880581130657,3.82965509609623,2.62049541234275,4.63663415426792,3.43004495774808,4.93512343321561,4.62895236983091,4.11939120867104,4.08928410104116,4.0046457893267,3.78002287249078,5.036355267166,3.35794046771252,3.48757160708575,3.97878939546064,4.7401289410915,4.21483008442821,4.57545012033594,4.35466648985249,3.6109863533206,5.2573574663903,3.89239587341071,4.54015143260101,4.47528934466543,3.91867760698003,4.38667964066118,3.65593505761505,4.58751961928732,3.86404407964506,5.08704478946555,2.70688354151769,2.93587463287038,3.6138454946828,4.0811579701847,3.76329874309428,3.71046413435239,4.45780879692667,3.90409262230125,4.67456258120076,3.71857727024412,4.66363978814107,5.32195105373206,4.40741403719653,3.97697248710236,3.95822342835138,4.61892491564083,4.68628697974227,4.38427763051079,4.05338885375974,4.7243904895715,4.64684396607338,4.27273327151354,3.6168652454266,4.62161750340868,4.31213037138064,4.61514524277151,5.46202997806095,4.18480430361936,4.92337319779007,4.47491660646046,4.9343312913858,3.79532393332599,4.70842890723765,3.70779718384582
sample_3_tumor,6.57649871126127,4.24905312966096,4.77939163830078,3.61969799627856,7.36959837988859,5.63101391771164,4.14325819835994,4.2701810095365,6.38351918709227,6.5037682477928,6.337700973955,5.8583835591615,6.63826386827909,6.8615738938921,3.48569815931495,5.65456245423038,4.4636762692856,6.83548221300018,7.58110314504379,3.81755815824121,4.56044881650091,4.00849734301393,3.70935662325985,3.90267534537017,3.52674289081021,3.59365571264427,4.55558562800869,4.24901203764332,4.63051748611911,3.86320611778247,4.53167437468339,4.26831281521853,4.56424692266062,3.94566904695489,2.5257321065289,4.20016761793466,3.68202416553071,4.65788539784625,3.71531409560236,4.69881212017384,3.97586215955187,4.36234433815827,4.25120468429087,4.46990246390795,5.23518137285085,4.48135114670114,3.25738931271659,4.40417443976434,3.99859433150486,3.93438954464833,4.011375138032,3.23576333016844,5.077839868596,3.97264245788963,5.23467377112158,5.48764040249402,3.55601443191145,3.29896114964682,4.78480202573354,4.39771010290009,2.77650607122676,4.02355771799578,3.98672948528304,4.53044105326133,3.81060496495846,3.82693981213142,3.24519883137566,4.69634557818548,2.77980155469201,4.21414707309557,4.06981282598726,5.10976540986885,4.15114140545845,3.40442521253833,3.2243123894323,5.35440626765297,3.05048993917906,4.76454307786826,4.16449548011712,4.48611972025226,4.18403022599879,3.83510708104099,3.73196246228156,2.80310256216159,3.26683122821499,2.72720890299,4.49111969155496,3.03249182822588,3.84244712639126,2.71953911063787,5.69102968471955,2.85998951825507,4.24560831625653,4.7863403081246,3.46879389736153,4.46516549676106,4.97127565959404,5.3442923358071,3.87245739957012,4.12786787118337
sample_3_normal.tissue,3.91632515536324,4.34323904106687,4.78218673593089,4.11629980526294,4.61392854756773,3.12583125764156,4.01813507411313,4.28989076071872,3.7172357733289,3.94883764613151,3.67308027653742,3.18800564299176,3.99880487035407,4.26218280253698,3.44285972227857,3.05507465664898,4.65698370458812,4.19180049721242,5.00557435200365,3.86532690853222,4.53486197636927,4.08569783523425,3.82823096837559,3.75119283706265,3.53935095496846,3.4951409151504,4.69671152707029,3.92653736233266,4.72585875898612,3.82484533666292,4.64804984081971,4.30836570818655,4.52160296417227,3.91170886377335,2.55989239399391,4.07845122934979,3.78452091281834,4.76252583121839,3.62858933319882,4.83195789563482,4.05963101939289,4.04257219740473,4.1883082593519,4.42313692921219,5.29107044694744,4.54187849713091,3.24906143515249,4.44077648148641,4.02794087913889,3.89518549754055,4.01575583402039,3.26921871330575,5.09748627401637,4.06734147923241,4.81525174374757,5.45369719244255,3.62034332404271,3.38361877309055,4.74046272687309,4.57056975433376,2.93570739426602,3.913790374077,3.98364657287437,4.60344977644841,3.82929115876343,3.73970921997563,3.28779639403421,4.67460330053555,2.87530376496612,4.22342678481808,4.04397406570147,4.73241375191381,4.09878178735953,3.48982757619088,3.18004067057194,5.25576776152202,3.1495583606234,4.76445754941341,4.10601780479226,4.4995368367493,4.078461074281,3.88548100327428,3.55555009988454,2.9052725963997,3.1787349135588,2.7331338404487,4.55559011344009,2.95470177232541,3.81018193058663,2.76526560661662,5.39360947183988,2.77500831503426,4.19660375159682,4.80898335612395,3.47389608974263,4.35008815039542,4.86618539320118,5.10193209835478,3.88622204624276,4.1283011744143
sample_4_tumor,3.91531438395894,4.92635253104594,7.21911804768015,4.65695235944337,4.81614535860724,6.84034714896275,6.79584170307212,4.55696857062068,3.65832206662972,6.5270677268768,3.53143060877839,4.24628499647285,6.88777721052984,7.94484854466189,5.22493491726486,4.45509875600683,5.14721485462825,3.84550846185388,7.24246028017585,6.65462207420611,3.36171217121502,4.52126544482698,4.70620460600806,4.03587430825931,5.10003693455641,4.40481267187283,5.13018895221727,4.09896663620753,3.75352003631649,3.83334970077895,4.91700983094223,4.19602474300412,3.91302312239748,4.32781215547706,4.7359479742343,3.7996575121226,5.4842283416211,5.18334823955754,4.51588879239923,3.97164217459508,3.7304613651021,3.9939919556646,5.41511035396111,4.52781177309681,4.37354617823272,5.1275788045987,4.48287529347157,5.37470452758833,3.77182073824549,4.07431918760603,4.39784567600704,2.28690265110266,4.09897266135351,5.63674851048601,5.65640971481106,3.91862193717929,3.95335235172104,4.14458884437717,4.40771059963755,3.95428057366484,4.73552040695124,3.65514992749124,3.8066236160255,4.25082307774432,4.58234818456203,4.01807863428348,4.22819311931689,3.44653201717871,4.48057143486917,4.14668724292166,4.57896290508432,3.71965652514937,5.22383860096035,3.78616219948711,3.80148192070664,4.44483106049489,4.77134257449907,5.06801494808917,4.70663108027985,3.87949971693886,3.48581688278369,3.37106655278419,4.17180715349674,3.67021652794101,4.45299184128498,4.61174222484322,3.74351782359463,3.81445845580479,3.37977079035742,4.7460670658804,4.84942782097595,4.80944085033458,3.88971074531132,5.21186203009189,4.21032907370931,4.46328837699994,3.50648340995475,3.20369071496459,4.11089034638909,4.61773765377669
sample_4_normal.tissue,4.06921505120502,5.016391469118,4.41742220976003,4.5230794794677,4.86322328081012,4.31413818941547,4.2641892044528,4.54896954010189,3.53815250311287,4.023599331935,3.54537693845813,4.15418479173144,4.38774656598635,5.40400841449913,5.24954841788508,4.59701143882088,5.08944163107516,3.91988874745058,4.6300099925633,4.06767485267376,3.49228882251507,4.55418662350259,4.69177688250225,3.91463098547329,5.0251651828275,4.26098097364402,5.02526466739455,4.15539582853224,3.73900567290622,3.84039043088499,4.89610630544791,4.2334100396924,4.06071580196669,4.28603623858796,4.76150983909981,3.7939376817372,5.47563111225822,5.2432458113258,4.4075170044947,3.9305578711392,3.6650317279136,4.07460663070813,5.11530940395024,4.48493917609842,3.96342880985245,4.78532971461061,4.57910769537411,5.39228928488988,3.82985906146046,4.09292168252614,4.41152024829521,2.31976013100824,4.04870474851404,5.538620245044,5.38421351442388,3.86014405417003,3.93940836025206,4.15653419432065,4.49459184491029,3.93181877289294,4.30608920935275,3.59018807815567,3.84395039456555,4.25565825465796,4.42608711695212,3.97982582535825,4.25320867747866,3.72668041746261,4.54887999473358,4.26002974934759,4.64114770692146,3.77115808293687,5.29532407885076,3.69263791888148,3.8705650251957,4.45370413726401,4.76218533018137,4.99821062204081,4.70850013511932,3.77768865848983,3.35556355860286,3.38600881981582,4.06833238375329,3.58835180660776,4.53874906211065,4.63438963120327,3.88129103576323,3.74379557973449,3.36693483629475,4.76659414289219,4.73532492058745,4.83793389652622,3.76211701931808,4.8786326204547,4.31296717142658,4.47738986466586,3.44156242352944,3.27272688106218,3.91340443469216,4.72837223836731
sample_5_tumor,6.3564211526027,8.24229138973772,6.10649507309902,4.31422445974325,6.6477504243075,3.63840976618379,6.91216174182351,3.00646540196584,6.86390565355116,4.34743247321975,3.25466628483585,8.10687911443948,4.27765265237077,5.99282258144867,6.81202977453155,5.20343321982339,7.64855974768267,6.46030531168302,6.47869133631781,6.86604056011686,3.32637195862443,5.11628382227089,4.47196597389732,5.15325317745828,4.88557995238548,4.70884660754102,3.54943278861792,4.3676788155668,5.06437872228164,4.30303650872806,3.20469918426491,5.09927445242586,4.2036185712429,3.98815948245899,4.07515963528444,3.68374390634556,3.92448570472607,4.68285798294677,3.34744056386817,4.81317396199981,5.31208546651654,4.99023032034041,4.29829705106869,4.9971590681503,4.16711515264318,4.48646096985877,3.51953941030248,4.51811946392996,4.16707538680265,4.66522481254902,3.72801356172159,3.86548176714137,4.27818507554168,4.45633248685924,3.73788715859207,4.7649234808109,3.79292860978832,3.71289626042933,4.74417613270433,3.43797755926772,3.28999672669673,4.56217016169896,3.88107227185073,4.80633689854304,4.60633390217304,3.47262047229344,3.84040282087412,4.89884917427126,3.97269197119778,3.88585806726525,4.424811216165,3.74639219025444,3.87672672436398,4.63771144315697,4.22981690407434,4.48645737143058,3.85045838833731,3.83190016312735,4.30093671821285,4.55789332510186,4.68774072969687,4.6937209059031,4.01021731151566,3.67710940000768,2.64493457025336,5.06363814112831,3.61195082393749,3.99618282034445,5.18723763967383,4.63189969613059,4.66476038168444,4.30818554444436,4.13543615690574,4.24516803150593,4.13743031617246,4.60979828664872,4.37133203573137,3.99261405445754,4.49686596121068,5.22262627439772
sample_5_normal.tissue,3.76266526242532,5.51239979580995,3.49321950076973,4.49367722172805,3.99198435271277,3.56698977443839,4.21701917813735,3.339913999417,4.34313037459116,4.41743963063158,3.29425007708094,5.56626389355758,4.04961137591799,3.47163331785629,4.10224397358093,5.08705977441595,5.00498417699632,3.80377713986692,3.91288307372982,4.31335079160058,3.00444853725651,4.797808529258,4.32430318453076,5.07007677079827,4.96596097124746,4.66323315465628,3.51401024645344,4.53104506967176,4.88630125727821,4.38757579451125,3.20434244066816,5.08239652954746,4.33125739450692,4.03678192969769,4.0192964844841,3.77676099502385,3.84363065437973,4.65901463206161,3.31034321654601,4.75857041893936,5.32140560430245,4.79871523575496,4.01826717050765,5.0014418802228,4.05735958410341,4.3834110933086,3.3521396270442,4.48910241623964,4.08202384606862,4.60925969804383,3.75898415735832,4.02184485932155,4.23077403712621,4.47387867817213,3.51563417768312,4.81930654890733,3.77779963985075,3.74903590790314,4.70351813606393,3.34291524796525,3.26034522689545,4.45457456125307,3.89315774907949,4.78743692820915,4.65503599364631,3.4247281268797,3.85268751005381,4.56038790797244,3.86887530269943,3.91147714086584,4.33524344662366,3.63503774032914,3.661078767773,4.61709900713387,4.26975236069729,4.54560343698488,3.82508188385879,3.81074584346694,4.3324561864996,4.55971255865553,4.7811016122212,4.52147502183912,4.03233033834605,3.71382159929462,2.75908348972383,5.0415593172269,3.41160137638991,3.93155470851707,4.98642088074529,4.70222149531459,4.6544633217655,4.00139964355389,4.13014386257291,4.27895311665983,4.07911772262126,4.194028569131,4.13521166103288,3.91930839844299,4.18560631436045,5.14759890264217
